date,value
1991-07-01,1.2603316819553099
1991-08-01,1.207257090117545
1991-09-01,1.197408350109829
1991-10-01,1.2209624874581622
1991-11-01,1.2322493792985987
1991-12-01,1.2759104214155632
1992-01-01,1.335151417962782
1992-02-01,1.2895944032212474
1992-03-01,1.2624972537872439
1992-04-01,1.2499801603689757
1992-05-01,1.23688512722153
1992-06-01,1.2310553278039251
1992-07-01,1.2403506200224454
1992-08-01,1.2432923769696695
1992-09-01,1.251590980424734
1992-10-01,1.2623522966141465
1992-11-01,1.2817529350978265
1992-12-01,1.3232470181682499
1993-01-01,1.3653669354561435
1993-02-01,1.3549823985183298
1993-03-01,1.3528022463072424
1993-04-01,1.3500527706754695
1993-05-01,1.3509923923005478
1993-06-01,1.3545580374934103
1993-07-01,1.3624674919034843
1993-08-01,1.373683893671048
1993-09-01,1.3846459835048455
1993-10-01,1.3955726917938271
1993-11-01,1.411626298386177
1993-12-01,1.4497833098434576
1994-01-01,1.480570314105477
1994-02-01,1.471592620960797
1994-03-01,1.4721638365658811
1994-04-01,1.4677760126559503
1994-05-01,1.4707061639223407
1994-06-01,1.4748894594564195
1994-07-01,1.4802221798152424
1994-08-01,1.4926637558952067
1994-09-01,1.5025011680428852
1994-10-01,1.5128141060096785
1994-11-01,1.527707354706343
1994-12-01,1.5460287802118453
1995-01-01,1.5682836103384985
1995-02-01,1.5604013321302268
1995-03-01,1.5627571850657236
1995-04-01,1.5633999163820524
1995-05-01,1.568463782530541
1995-06-01,1.572927564111894
1995-07-01,1.5780917878810707
1995-08-01,1.5893399743697032
1995-09-01,1.5960767027551668
1995-10-01,1.6087567992885003
1995-11-01,1.620394404464343
1995-12-01,1.6429036183884447
1996-01-01,1.6708347370671615
1996-02-01,1.6680575013725931
1996-03-01,1.6676237779575531
1996-04-01,1.6708013572840343
1996-05-01,1.6788800572159277
1996-06-01,1.6823378456783136
1996-07-01,1.6931777280527758
1996-08-01,1.7016911685348313
1996-09-01,1.7112072876140343
1996-10-01,1.7232886622114418
1996-11-01,1.7331271234783163
1996-12-01,1.75720051250197
1997-01-01,1.779311629538598
1997-02-01,1.772682910725181
1997-03-01,1.7709838169083973
1997-04-01,1.774177601173478
1997-05-01,1.7789705243503537
1997-06-01,1.7857159721081086
1997-07-01,1.7952537318245596
1997-08-01,1.8013774057426668
1997-09-01,1.8116009013561516
1997-10-01,1.8255271825510209
1997-11-01,1.835505047052411
1997-12-01,1.8625566506891296
1998-01-01,1.8802538835054932
1998-02-01,1.874460177600681
1998-03-01,1.8746094319533597
1998-04-01,1.8759610026671032
1998-05-01,1.8804364008701715
1998-06-01,1.8871563677610035
1998-07-01,1.8966948901492904
1998-08-01,1.902860307064615
1998-09-01,1.9147468350136012
1998-10-01,1.9258574023400357
1998-11-01,1.9385858671177862
1998-12-01,1.9621985643385011
1999-01-01,1.9835693671566947
1999-02-01,1.976580309848382
1999-03-01,1.9828200619033678
1999-04-01,1.9830875244041206
1999-05-01,1.9880717534813988
1999-06-01,1.9943725946804411
1999-07-01,2.004002831513353
1999-08-01,2.0153277542176617
1999-09-01,2.02666787260684
1999-10-01,2.0378243073685556
1999-11-01,2.052350159997051
1999-12-01,2.0744607757171187
2000-01-01,2.0999062772037527
2000-02-01,2.0948016305296764
2000-03-01,2.097948370482288
2000-04-01,2.1001451373283193
2000-05-01,2.107971760127734
2000-06-01,2.116387841842523
2000-07-01,2.131363330881758
2000-08-01,2.144497685205707
2000-09-01,2.1528663647875326
2000-10-01,2.1701563255936462
2000-11-01,2.184668834639862
2000-12-01,2.2019125989503445
2001-01-01,2.2284423911453675
2001-02-01,2.2204143757127732
2001-03-01,2.2267628457354807
2001-04-01,2.2296199020198313
2001-05-01,2.2383048171693263
2001-06-01,2.2417006419286905
2001-07-01,2.2526962638776196
2001-08-01,2.2641223177040053
2001-09-01,2.2698047405291906
2001-10-01,2.2848592828294647
2001-11-01,2.303432009833831
2001-12-01,2.317971761633796
2002-01-01,2.344548312582465
2002-02-01,2.33660733897345
2002-03-01,2.3347104578961315
2002-04-01,2.337169744555263
2002-05-01,2.3459629979398504
2002-06-01,2.3486443601313574
2002-07-01,2.3601148039943913
2002-08-01,2.3680338907873364
2002-09-01,2.378459551874641
2002-10-01,2.39122392932269
2002-11-01,2.402206712167427
2002-12-01,2.419881057528456
2003-01-01,2.4425174072668896
2003-02-01,2.433528183131642
2003-03-01,2.43058579314737
2003-04-01,2.4269574240027123
2003-05-01,2.432557777506985
2003-06-01,2.4362457749557245
2003-07-01,2.443462579117567
2003-08-01,2.448158355122436
2003-09-01,2.4558629813692328
2003-10-01,2.469014043436182
2003-11-01,2.477217997635919
2003-12-01,2.4955396136120958
2004-01-01,2.5177152000629985
2004-02-01,2.5155828756810297
2004-03-01,2.5183449376036244
2004-04-01,2.5204519670978605
2004-05-01,2.5268824266008467
2004-06-01,2.533136862021206
2004-07-01,2.544209945204758
2004-08-01,2.55477716557913
2004-09-01,2.5674992302674866
2004-10-01,2.5813667656577173
2004-11-01,2.5975670623248615
2004-12-01,2.6166497888869875
2005-01-01,2.6400718094294877
2005-02-01,2.632080689719271
2005-03-01,2.630023674780255
2005-04-01,2.6323423808732014
2005-05-01,2.6358198052998434
2005-06-01,2.6424528699118026
2005-07-01,2.649156098648248
2005-08-01,2.661289205688245
2005-09-01,2.6744609229283145
2005-10-01,2.6849877797191204
2005-11-01,2.700566922277339
2005-12-01,2.717221742108176
2006-01-01,2.741873838886201
2006-02-01,2.7299079096378005
2006-03-01,2.7304019445303505
2006-04-01,2.726203550843691
2006-05-01,2.734737325298882
2006-06-01,2.737875544914949
2006-07-01,2.7431614597014744
2006-08-01,2.753301134273158
2006-09-01,2.7565288245504647
2006-10-01,2.773831346734544
2006-11-01,2.7955175403197274
2006-12-01,2.8154090709941433
2007-01-01,2.8444920481930636
2007-02-01,2.84307394187632
2007-03-01,2.8510575150347153
2007-04-01,2.8481326080057996
2007-05-01,2.85915728347988
2007-06-01,2.868702063468466
2007-07-01,2.880758432433101
2007-08-01,2.897281103831303
2007-09-01,2.9104809437408363
2007-10-01,2.923749092523962
2007-11-01,2.9408720152890684
2007-12-01,2.958256488797866
2008-01-01,2.982487508769735
2008-02-01,2.9876912994611646
2008-03-01,2.9830492336164793
2008-04-01,2.991867533896832
2008-05-01,2.9997148392441804
2008-06-01,2.997873508221583
